scroll,zarr,level,gap_close,n_slices,n_rays,wraps_p10,wraps_med,wraps_p90,lambda_med_lvlvox,lambda_p25,lambda_p75,lambda_med_L0vox,lambda_med_um,MB_fetched
PHerc0332,20251211183505-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,32.0,41.0,49.0,5.0,3.5,8.0,20.0,191.9,98.3
PHerc0846A,20260319102732-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,56.0,76.0,89.7,6.0,4.0,9.0,24.0,230.7,458.9
PHerc0175A,20250521115057-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,998,66.7,95.0,113.0,5.5,4.0,8.5,22.0,190.1,693.2
PHerc0500P2,20250820143440-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,800,4.0,16.0,25.0,6.0,4.0,10.5,24.0,224.7,28.6
PHerc0343,20250521140437-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,63.0,85.0,105.0,5.5,4.0,8.5,22.0,190.1,596.2
PHercMANBp,20251216152116-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,730,3.0,7.0,11.0,8.0,4.5,19.5,32.0,307.1,5.6
PHerc0814,20260309142202-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,45.0,59.0,72.0,5.5,4.0,8.5,22.0,211.1,298.3
PHerc0826,20250821151701-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,32.0,54.0,69.0,6.0,4.0,10.0,24.0,224.7,287.7
PHerc0483B,20251124083638-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,992,54.0,87.0,112.0,6.0,4.0,9.5,24.0,207.4,678.4
PHerc0211,20250821151803-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,54.3,68.0,89.0,5.5,4.0,8.5,22.0,206.0,395.6
PHerc0490A,20250521151210-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,977,55.0,100.0,120.0,6.0,4.0,9.0,24.0,207.4,826.8
PHerc0306B,20250521133212-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,58.0,83.0,104.0,6.0,4.0,9.0,24.0,207.4,648.3
PHerc0009B,20260319104112-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,895,5.0,30.0,43.0,5.5,4.0,9.5,22.0,211.3,86.7
PHerc0125,20250821151825-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,55.0,73.0,90.0,5.5,4.0,8.5,22.0,206.0,434.0
PHerc0139,20250728140407-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,48.0,63.0,80.0,5.5,4.0,9.0,22.0,206.0,339.2
PHerc0175B,20250521125822-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,74.0,102.0,125.0,6.0,4.5,9.5,24.0,207.4,1005.3
PHerc0191,20250821151635-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,62.0,84.0,101.0,6.0,4.0,9.0,24.0,224.7,606.5
PHerc0257,20250821151750-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1005,50.4,70.0,88.0,5.5,4.0,9.0,22.0,206.0,454.7
PHerc0268,20251110183117-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,66.0,113.0,140.7,7.0,4.5,11.0,28.0,241.9,1566.2
PHerc0343P,20260304131111-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,834,5.0,16.0,27.0,6.5,4.0,11.5,26.0,230.4,20.4
PHerc0358,20250821151737-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,54.3,76.0,98.0,5.5,4.0,9.0,22.0,206.0,544.6
PHerc0483A,20250521140913-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1012,60.0,79.5,100.0,5.5,4.0,8.5,22.0,190.1,539.0
PHerc0490B,20250521151215-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,985,30.0,78.0,110.0,6.0,4.0,9.5,24.0,207.4,579.2
PHerc0800,20250521135224-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,68.3,92.0,117.7,6.0,4.0,9.5,24.0,207.4,872.5
PHerc0813,20250821151723-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1001,56.0,77.0,93.0,5.5,4.0,9.0,22.0,206.0,509.8
PHerc0841,20260319124803-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,57.0,69.0,82.0,5.5,4.0,8.0,22.0,211.5,375.1
PHerc0846B,20250804142305-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1005,38.0,71.0,92.0,5.5,4.0,9.0,22.0,206.0,452.1
PHerc1203,20260319130212-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,52.0,63.0,73.0,5.5,4.0,8.0,22.0,211.5,306.5
PHerc1218,20250521120456-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,46.0,60.0,76.0,5.5,4.0,8.5,22.0,190.1,310.9
PHerc1299,20260309130042-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,17.0,31.0,52.0,5.5,4.0,9.5,22.0,211.1,119.5
PHerc1447,20250521151220-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,55.0,71.0,91.7,5.5,4.0,8.5,22.0,190.1,416.5
PHerc1451,20260319101107-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,42.0,51.0,60.0,5.0,3.5,8.0,20.0,191.9,185.4
PHerc1545,20250821151648-surface-20260413222639-surface-m7-L0-th0.2.zarr,2,0,16,1024,41.0,64.0,85.0,5.5,4.0,8.5,22.0,206.0,354.6
PHercMAN5,20260311104824-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,18.0,27.0,34.0,6.0,4.0,10.5,24.0,230.3,83.4
PHercMANB,20260323091048-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,804,6.0,44.0,74.0,6.0,4.0,10.0,24.0,230.3,234.6
PHercParis4,20260411134726-surface-20260413222639-surface-m7-L2-th0.2.zarr,2,0,16,1024,70.0,89.0,106.0,5.5,4.0,7.5,22.0,211.2,563.5
