scroll,zarr,level,gap_close,n_slices,n_rays,wraps_p10,wraps_med,wraps_p90,lambda_med_lvlvox,lambda_p25,lambda_p75,lambda_med_L0vox,lambda_med_um,lambda_p25_um,lambda_p75_um,um_per_L0vox,MB_fetched
PHerc0009B,20260319104112-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,893,7.0,34.0,47.0,10.0,7.0,16.5,20.0,192.1,134.5,317.0,9.6045,218.8
PHerc0125,20250821151825-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,60.0,82.0,100.0,10.0,7.5,14.5,20.0,187.3,140.5,271.5,9.3636,1203.5
PHerc0139,20250728140407-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,57.0,75.0,93.0,10.0,7.0,14.5,20.0,187.3,131.1,271.5,9.3636,925.3
PHerc0175A,20250521115057-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,999,72.8,109.0,129.0,10.0,7.0,14.5,20.0,172.8,121.0,250.6,8.6409,1917.4
PHerc0175B,20250521125822-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,81.0,113.0,137.0,11.0,8.0,17.5,22.0,190.1,138.3,302.5,8.6417,2884.7
PHerc0191,20250821151635-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,70.0,94.0,115.0,10.0,7.0,16.0,20.0,187.2,131.1,299.6,9.3625,1728.7
PHerc0211,20250821151803-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,62.0,76.0,98.0,10.0,7.0,15.0,20.0,187.3,131.1,280.9,9.3636,1121.6
PHerc0257,20250821151750-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1005,57.0,78.0,97.0,10.0,7.5,15.5,20.0,187.3,140.5,290.3,9.3636,1314.4
PHerc0268,20251110183117-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,76.3,129.0,158.0,12.0,8.0,20.0,24.0,207.3,138.2,345.6,8.6393,4481.7
PHerc0306B,20250521133212-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,64.0,93.0,119.0,10.5,7.5,16.0,21.0,181.5,129.6,276.5,8.6417,1833.1
PHerc0332,20251211183505-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,44.0,52.0,59.0,8.5,6.5,12.5,17.0,163.1,124.7,239.9,9.595,320.8
PHerc0343,20250521140437-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,72.0,94.0,117.0,10.0,7.5,15.5,20.0,172.8,129.6,267.9,8.6409,1691.5
PHerc0343P,20260304131111-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,846,4.0,17.0,30.0,11.5,7.5,19.5,23.0,203.8,132.9,345.6,8.8615,90.1
PHerc0358,20250821151737-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,62.0,85.0,110.0,10.0,7.0,15.5,20.0,187.3,131.1,290.3,9.3636,1525.1
PHerc0483A,20250521140913-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1011,64.0,87.0,111.0,10.5,7.5,15.5,21.0,181.5,129.6,267.9,8.6409,1537.5
PHerc0483B,20251124083638-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,994,60.0,97.0,123.7,10.5,7.5,16.5,21.0,181.5,129.6,285.2,8.6417,1934.8
